cardinality of set,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
bool_band,,,,,,,,,,,,,,,,,,,,,
count,0,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0008,0.0017999999999999997,0.0014999999999999998,0.0004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0012,0.0023,0.0016,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0013,0.0058000000000000005,0.010199999999999999,0.0042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.01686400000017,0.02797499999997,0.02107699999988,0.00519299999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bool_bor,,,,,,,,,,,,,,,,,,,,,
count,0,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-correct,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-correct,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-rec-correct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-sof,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-nosol,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-time,0,0.0008,0.0017999999999999997,0.0012,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-time,0,0.0012,0.0021,0.0016,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-time,0,0.0041,0.0114,0.0121,0.0054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smyth-time,0,0.016548000000050002,0.024461999999869997,0.01724600000012,0.00505100000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
syrup-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naive-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
burst-timeout,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
